行业代码,行业名称,平均价,平均涨跌幅%,资金流向,流入金额(万),流出金额(万),净流入(万),净流入率%,主力净占比%,散户净占比%,资金流时间,抓取时间
sw2_110100,种植业,7.0224,-1.61,流出,55739.21,65889.02,-10149.81,-8.19,0.5,-0.99,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110200,渔业,5.2155,0.15,流入,7627.9,7352.69,275.21,1.8,2.53,-1.9,2026-05-28T15:00:00+08:00,2026-05-28T15:51:34+08:00
sw2_110300,林业Ⅱ,8.5681,1.2,流入,62716.54,49242.42,13474.12,11.88,7.88,0.62,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110400,饲料,6.5111,-0.46,流出,19260.86,19680.27,-419.41,-1.06,1.55,-2.16,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110500,农产品加工,16.4571,-1.96,流出,63670.88,73872.07,-10201.2,-7.21,-2.98,-0.2,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110700,养殖业,6.0907,-0.99,流出,56044.9,59618.49,-3573.59,-3.04,0.91,1.32,2026-05-28T15:00:00+08:00,2026-05-28T15:51:34+08:00
sw2_110800,动物保健Ⅱ,7.185,4.08,流入,30336.64,4489.39,25847.25,75.42,45.85,4.56,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_110900,农业综合Ⅱ,5.1346,0.12,流出,3077.51,3101.29,-23.78,-0.38,-5.63,0.81,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220200,化学原料,12.0628,0.05,流入,253563.0,253490.53,72.47,0.01,0.76,-0.23,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_220300,化学制品,22.3479,-0.19,流出,1290870.91,1333552.44,-42681.53,-1.55,0.14,-0.22,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220400,化学纤维,9.1568,0.94,流入,104590.08,88378.6,16211.49,8.16,5.1,0.63,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220500,塑料,17.9049,2.95,流入,606726.61,440555.66,166170.96,15.08,11.84,0.28,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220600,橡胶,13.5483,0.91,流出,84435.21,94422.6,-9987.39,-5.22,-2.94,-1.45,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220800,农化制品,14.068,-1.18,流出,299960.57,324409.84,-24449.27,-3.76,-0.46,-0.38,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_220900,非金属材料Ⅱ,48.9608,7.54,流入,278752.21,244125.11,34627.1,6.1,5.38,0.15,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_230300,冶钢原料,8.6278,-0.06,流出,93678.97,103013.73,-9334.76,-4.55,-3.66,-0.08,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_230400,普钢,4.0047,-0.65,流出,39746.13,50417.02,-10670.9,-11.87,-4.89,-0.78,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_230500,特钢Ⅱ,7.4993,0.37,流出,81964.84,82064.29,-99.45,-0.06,3.11,-1.18,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_240200,金属新材料,31.7954,3.07,流入,525173.76,456017.67,69156.09,6.52,6.73,-0.12,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_240300,工业金属,18.2269,-1.35,流入,1855582.21,1771650.41,83931.8,2.24,2.83,-0.07,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_240400,贵金属,22.6212,-4.29,流出,213417.17,221503.09,-8085.92,-1.81,-1.27,-0.02,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_240500,小金属,45.4031,2.03,流入,554694.99,443926.02,110768.97,10.4,8.98,0.11,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_240600,能源金属,60.8989,-1.38,流入,606919.69,597958.71,8960.98,0.69,0.98,0.03,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_270100,半导体,118.1473,2.13,流入,15204525.76,14534431.67,670094.09,2.04,2.21,0.01,2026-05-28T15:00:00+08:00,2026-05-28T15:51:35+08:00
sw2_270200,元件,74.2773,2.3,流入,4042152.51,3601828.12,440324.38,5.3,4.29,0.07,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_270300,光学光电子,9.98,0.46,流入,3017950.59,3006449.19,11501.4,0.18,-0.05,0.04,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_270400,其他电子Ⅱ,43.2696,1.05,流出,795548.94,818634.12,-23085.18,-1.34,-2.62,-0.02,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_270500,消费电子,38.5552,1.11,流入,2757235.03,2547113.98,210121.05,3.72,3.3,0.03,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_270600,电子化学品Ⅱ,42.0699,3.83,流入,1240091.37,1086463.9,153627.47,6.15,6.1,0.04,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_280200,汽车零部件,17.8195,-0.22,流出,1294588.57,1341132.04,-46543.47,-1.67,0.84,-0.23,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_280300,汽车服务,6.5103,0.72,流入,58895.48,52712.05,6183.43,5.45,6.09,-0.77,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_280400,摩托车及其他,29.6377,-0.84,流入,89262.62,87946.11,1316.51,0.69,4.5,-0.67,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_280500,乘用车,13.1994,-1.79,流出,190489.86,218783.33,-28293.46,-6.69,-3.66,-0.08,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_280600,商用车,11.1084,-1.2,流出,47142.37,64173.1,-17030.73,-14.91,-3.17,-0.93,2026-05-28T15:00:00+08:00,2026-05-28T15:51:36+08:00
sw2_330100,白色家电,42.6396,-1.26,流出,169424.69,215617.11,-46192.42,-11.4,-11.02,0.25,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_330200,黑色家电,53.6125,-0.16,流入,5204.69,4984.89,219.79,2.1,4.73,-2.64,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_330300,小家电,14.8933,0.3,流出,25561.29,30885.03,-5323.74,-9.06,-0.45,-1.38,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_330400,厨卫电器,9.0766,-1.65,流出,16536.2,19397.36,-2861.16,-7.71,-1.37,0.85,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_330500,照明设备Ⅱ,17.0418,2.36,流入,63173.13,60681.96,2491.17,1.87,0.0,-0.06,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_330600,家电零部件Ⅱ,12.6617,-0.76,流出,141600.52,145763.6,-4163.08,-1.4,1.34,-0.49,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_330700,其他家电Ⅱ,7.2445,-1.58,流出,6968.49,9305.55,-2337.06,-14.07,-1.05,-1.61,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_340400,食品加工,15.8085,-0.36,流出,79456.5,88562.19,-9105.7,-5.15,-1.74,-0.55,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_340500,白酒Ⅱ,54.2303,-2.62,流出,236424.53,291827.46,-55402.93,-9.85,-3.88,-0.17,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_340600,非白酒,10.2466,-1.29,流入,77107.07,75026.91,2080.16,1.33,4.43,-0.45,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_340700,饮料乳品,23.0695,-0.89,流出,211545.4,232255.96,-20710.56,-4.46,-1.43,-0.32,2026-05-28T15:00:00+08:00,2026-05-28T15:51:37+08:00
sw2_340800,休闲食品,21.1813,-1.08,流出,33545.94,36303.2,-2757.27,-3.7,0.35,-0.51,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_340900,调味发酵品Ⅱ,21.6725,-1.9,流出,244479.29,321769.12,-77289.82,-13.29,-12.6,-0.05,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_350100,纺织制造,8.759,-0.28,流出,87340.66,92576.55,-5235.89,-2.82,1.56,0.07,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_350200,服装家纺,11.296,-1.05,流出,152759.33,164915.37,-12156.03,-3.72,-0.06,0.13,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_350300,饰品,7.3427,-0.16,流出,28969.13,30050.27,-1081.14,-1.8,-0.34,-1.53,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_360100,造纸,7.4104,-0.09,流出,47037.33,48714.35,-1677.02,-1.72,0.42,-1.19,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_360200,包装印刷,13.2482,1.24,流入,120073.56,110329.69,9743.88,4.05,2.47,0.09,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_360300,家居用品,20.6608,-1.1,流出,214177.02,246715.46,-32538.45,-6.7,-1.68,-1.6,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_360500,文娱用品,13.7392,-0.33,流入,49067.08,46711.35,2355.73,2.32,4.89,-2.43,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_370100,化学制药,18.3709,-2.13,流出,733313.37,814337.99,-81024.62,-5.01,-3.36,-0.23,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_370200,中药Ⅱ,18.8291,-1.5,流出,178768.38,189059.04,-10290.66,-2.69,-0.06,0.65,2026-05-28T15:00:00+08:00,2026-05-28T15:51:38+08:00
sw2_370300,生物制品,26.5213,-1.36,流入,278496.69,269126.68,9370.01,1.63,3.93,0.25,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_370400,医药商业,16.2104,-1.03,流出,74419.35,96791.85,-22372.5,-12.55,-1.51,-0.76,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_370500,医疗器械,32.0843,-0.78,流出,667416.68,738621.43,-71204.75,-4.74,-2.81,-0.08,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_370600,医疗服务,41.4301,-1.14,流入,442110.17,425244.24,16865.94,1.82,3.72,-0.14,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_410100,电力,10.4292,1.67,流入,2547048.17,2112533.33,434514.84,9.11,6.47,0.29,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_410300,燃气Ⅱ,10.528,-0.93,流出,129047.24,151519.85,-22472.61,-7.86,-3.62,0.05,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_420800,物流,7.7537,-0.23,流出,126574.35,136618.55,-10044.2,-3.73,-0.16,-0.76,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_420900,铁路公路,6.5604,-0.4,流出,98336.19,123217.04,-24880.85,-11.16,-7.75,-0.07,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_421000,航空机场,4.258,-1.09,流出,103989.1,130487.22,-26498.12,-11.12,-8.12,0.12,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_421100,航运港口,7.959,-0.77,流出,181002.79,205188.4,-24185.6,-6.2,-5.59,0.32,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_430100,房地产开发,4.2128,0.89,流入,327972.22,295028.62,32943.59,5.16,5.14,-0.4,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_430300,房地产服务,2.9456,2.88,流入,4893.11,2931.51,1961.6,24.94,2.21,5.34,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_450200,贸易Ⅱ,7.7534,-0.34,流出,84170.69,86916.58,-2745.88,-1.56,-2.42,-0.3,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_450300,一般零售,4.4522,-1.39,流出,176938.66,208929.2,-31990.55,-8.14,-2.46,-1.45,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_450400,专业连锁Ⅱ,10.49,-2.88,流出,24697.09,31595.08,-6897.99,-11.82,-2.64,-0.34,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_450600,互联网电商,3.8604,0.52,流入,88011.48,65115.82,22895.66,14.58,8.63,0.71,2026-05-28T15:00:00+08:00,2026-05-28T15:51:39+08:00
sw2_450700,旅游零售Ⅱ,31.2717,-2.49,流出,93817.18,105517.81,-11700.63,-5.65,-2.92,0.12,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_460600,体育Ⅱ,11.9423,7.11,流入,91699.22,58456.35,33242.87,21.58,22.87,-0.21,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_460800,专业服务,16.1643,1.29,流入,131253.41,121804.11,9449.3,3.57,2.87,-0.28,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_460900,酒店餐饮,13.4967,-2.27,流出,15774.03,16037.74,-263.7,-0.8,-0.42,0.74,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_461000,旅游及景区,7.439,-0.77,流出,50995.34,55993.76,-4998.42,-4.58,1.04,-0.51,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_461100,教育,4.7317,-0.38,流出,31167.06,39887.32,-8720.27,-11.88,-3.25,-1.83,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_480200,国有大型银行Ⅱ,10.08,-1.37,流出,39456.31,44736.64,-5280.33,-6.26,-2.51,-0.3,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_480300,股份制银行Ⅱ,12.7266,-0.67,流出,378974.2,385379.57,-6405.36,-0.83,-1.65,0.09,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_480400,城商行Ⅱ,9.9562,-0.52,流出,87625.4,94659.83,-7034.44,-3.83,-3.47,1.38,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_480500,农商行Ⅱ,4.1056,-0.65,流出,13918.19,21552.59,-7634.4,-22.16,-10.87,-1.33,2026-05-28T15:00:00+08:00,2026-05-28T15:51:40+08:00
sw2_490100,证券Ⅱ,11.1503,-2.1,流出,823220.24,940703.06,-117482.82,-6.57,-7.79,0.78,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_490200,保险Ⅱ,25.9433,-1.17,流出,419218.14,435239.88,-16021.74,-1.83,-1.16,0.21,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_490300,多元金融,7.1141,0.34,流入,171353.17,163976.6,7376.57,2.14,3.93,0.15,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_510100,综合Ⅱ,11.2094,0.14,流入,220738.6,211539.31,9199.29,2.04,0.06,-0.21,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_610100,水泥,9.528,-0.67,流出,53288.04,66289.12,-13001.08,-10.56,-2.0,-0.72,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_610200,玻璃玻纤,14.3324,7.93,流入,382743.52,331103.79,51639.74,6.74,6.48,0.06,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_610300,装修建材,13.9333,-0.62,流入,163596.43,161351.49,2244.94,0.66,0.82,-0.06,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_620100,房屋建设Ⅱ,5.08,1.6,流出,11657.09,12645.23,-988.14,-4.06,-1.87,0.21,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_620200,装修装饰Ⅱ,4.4413,-0.98,流入,21071.41,19703.63,1367.78,3.3,5.61,-2.73,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_620300,基础建设,5.7875,0.82,流入,307649.99,266085.8,41564.19,6.91,7.98,0.02,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_620400,专业工程,11.962,-0.9,流出,282864.5,322119.15,-39254.66,-6.14,-2.2,-0.2,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_620600,工程咨询服务Ⅱ,15.1001,-0.02,流出,266489.28,276959.63,-10470.35,-1.86,-1.98,-0.21,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_630100,电机Ⅱ,54.8199,-0.97,流出,174062.07,194211.76,-20149.69,-5.18,1.62,-0.12,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_630300,其他电源设备Ⅱ,14.1695,1.61,流入,569201.86,490360.03,78841.84,6.95,7.34,0.14,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_630500,光伏设备,19.3904,0.35,流入,1059353.22,1047063.56,12289.66,0.55,0.49,-0.01,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_630600,风电设备,19.1013,1.18,流入,291850.72,263172.67,28678.05,5.01,7.72,0.19,2026-05-28T15:00:00+08:00,2026-05-28T15:51:41+08:00
sw2_630700,电池,81.2542,0.59,流入,2485759.59,2444957.87,40801.72,0.75,1.14,0.04,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_630800,电网设备,22.074,1.11,流入,1605807.08,1513245.66,92561.42,2.81,2.54,0.04,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_640100,通用设备,31.0979,2.49,流入,2365709.24,2111546.61,254162.63,5.31,4.57,0.07,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_640200,专用设备,20.1227,1.14,流入,1469724.08,1362792.91,106931.18,3.51,4.3,-0.16,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_640500,轨交设备Ⅱ,9.3912,0.38,流出,120284.7,130147.69,-9862.99,-3.76,-3.54,-0.31,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_640600,工程机械,19.4838,-0.81,流入,293085.49,274571.89,18513.6,3.1,0.81,0.01,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_640700,自动化设备,34.5085,0.59,流入,1214208.48,1165911.98,48296.5,1.9,3.58,-0.11,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_650100,航天装备Ⅱ,51.1159,1.26,流出,22663.43,24620.38,-1956.95,-3.89,-0.55,-0.47,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_650200,航空装备Ⅱ,33.4742,0.6,流入,437735.56,427719.06,10016.5,1.1,2.77,-0.16,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_650300,地面兵装Ⅱ,35.301,1.43,流入,47427.3,41065.26,6362.04,6.83,5.05,0.45,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_650400,航海装备Ⅱ,28.6494,0.45,流入,231453.87,221450.77,10003.09,2.11,2.49,0.01,2026-05-28T15:00:00+08:00,2026-05-28T15:51:42+08:00
sw2_650500,军工电子Ⅱ,37.6418,2.12,流入,908756.19,797275.82,111480.37,6.08,6.41,-0.09,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_710100,计算机设备,30.685,0.14,流入,1052646.91,1008675.41,43971.5,2.02,3.17,-0.03,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_710300,IT服务Ⅱ,17.7651,0.26,流入,1193160.97,1166817.95,26343.02,1.07,2.27,-0.04,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_710400,软件开发,33.46,-0.01,流出,1377583.07,1412094.34,-34511.27,-1.15,0.27,-0.02,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_720400,游戏Ⅱ,13.6055,-0.66,流出,124431.16,143150.21,-18719.04,-6.74,-2.9,0.04,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_720500,广告营销,10.1064,1.05,流入,468863.92,411599.5,57264.42,6.36,6.33,0.12,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_720600,影视院线,9.5846,-1.88,流出,156339.29,190412.29,-34073.01,-9.66,-7.17,0.04,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_720700,数字媒体,13.8569,-2.16,流出,51266.12,57054.81,-5788.69,-5.15,-3.65,0.08,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_720900,出版,8.1738,-1.28,流出,108838.06,136934.46,-28096.4,-11.19,-7.95,-0.05,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_721000,电视广播Ⅱ,7.4152,-1.31,流出,123511.12,152685.49,-29174.37,-10.29,-4.01,0.08,2026-05-28T15:00:00+08:00,2026-05-28T15:51:43+08:00
sw2_730100,通信服务,78.9603,0.65,流入,300114.27,296409.99,3704.28,0.6,0.7,-0.02,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_730200,通信设备,89.614,6.1,流入,5067329.82,3989707.94,1077621.87,10.67,10.05,-0.02,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_740100,煤炭开采,21.7483,0.44,流入,510297.66,458968.37,51329.29,5.15,3.97,0.25,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_740200,焦炭Ⅱ,3.8488,1.44,流入,16759.48,13453.08,3306.4,11.0,6.38,1.12,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_750100,油气开采Ⅱ,7.59,2.15,流入,10136.98,8254.34,1882.64,10.01,5.87,-0.73,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_750200,油服工程,11.3257,0.55,流入,121066.23,108564.47,12501.76,5.26,2.26,0.13,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_750300,炼化及贸易,8.6963,-0.48,流入,284828.41,263346.06,21482.35,3.85,3.59,-0.18,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_760100,环境治理,10.9942,-0.07,流出,378781.1,382240.25,-3459.15,-0.44,0.92,-0.34,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_760200,环保设备Ⅱ,11.6407,0.74,流出,148765.91,153867.7,-5101.8,-1.62,1.64,-0.62,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_770100,个护用品,17.6141,-0.75,流出,25839.25,27355.83,-1516.58,-2.75,0.51,0.86,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_770200,化妆品,18.2912,-2.1,流出,34347.1,43133.8,-8786.7,-10.66,-3.46,-0.25,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
sw2_770300,医疗美容,17.4956,-1.16,流出,13577.04,17075.48,-3498.43,-11.8,0.02,-0.76,2026-05-28T15:00:00+08:00,2026-05-28T15:51:44+08:00
